NP_001018031.2	[0.9382612]
NP_001291944.1	[0.8529961]
NP_001335738.1	[0.6971529]
NP_001335783.1	[0.9847877]
NP_001335798.1	[0.96662503]
NP_009349.3	[0.9888719]
NP_009352.2	[0.5522734]
NP_009356.1	[0.94106686]
NP_009378.1	[0.87494385]
NP_009401.1	[0.91641235]
NP_009447.1	[0.985603]
NP_009487.2	[0.987812]
NP_009499.1	[0.9740967]
NP_009501.1	[0.9519324]
NP_009503.1	[0.7201166]
NP_009522.1	[0.6581022]
NP_009524.1	[0.85261554]
NP_009528.1	[0.9485148]
NP_009532.1	[0.98566276]
NP_009539.2	[0.9876836]
NP_009546.1	[0.9627692]
NP_009547.2	[0.92156166]
NP_009548.1	[0.9889253]
NP_009552.1	[0.93645024]
NP_009553.1	[0.9726113]
NP_009561.2	[0.52217513]
NP_009563.1	[0.7195405]
NP_009564.1	[0.9535321]
NP_009589.1	[0.98904395]
NP_009605.1	[0.9567104]
NP_009639.3	[0.96283084]
NP_009647.2	[0.9756478]
NP_009653.2	[0.535633]
NP_009666.3	[0.9577495]
NP_009681.3	[0.9776831]
NP_009687.1	[0.8199433]
NP_009696.2	[0.9835186]
NP_009698.3	[0.936131]
NP_009708.1	[0.98923755]
NP_009712.1	[0.98749465]
NP_009731.4	[0.94431734]
NP_009741.3	[0.9812635]
NP_009752.3	[0.78899044]
NP_009771.3	[0.9744796]
NP_009797.1	[0.7824252]
NP_009798.3	[0.9918321]
NP_009799.3	[0.9903841]
NP_009804.1	[0.89097726]
NP_009825.4	[0.98495525]
NP_009856.3	[0.97864175]
NP_009866.1	[0.9896198]
NP_009867.1	[0.97094077]
NP_009868.3	[0.9896198]
NP_009869.3	[0.97094077]
NP_009871.2	[0.5514959]
NP_009876.1	[0.97545844]
NP_009944.2	[0.95381504]
NP_009962.2	[0.98697066]
NP_009991.2	[0.9857631]
NP_009992.1	[0.98211044]
NP_010011.1	[0.9778976]
NP_010020.1	[0.72861826]
NP_010021.1	[0.989884]
NP_010031.1	[0.98905456]
NP_010048.1	[0.7774965]
NP_010058.1	[0.6883919]
NP_010106.1	[0.9656339]
NP_010111.1	[0.9883449]
NP_010131.1	[0.96649987]
NP_010150.1	[0.88701826]
NP_010177.1	[0.99191743]
NP_010195.1	[0.9763215]
NP_010209.1	[0.9892539]
NP_010213.1	[0.92779464]
NP_010227.1	[0.9540316]
NP_010235.1	[0.98770183]
NP_010241.1	[0.9898662]
