XP_647835.1	[0.8817224]
XP_657608.1	[0.83256495]
XP_657630.1	[0.97294474]
XP_657637.1	[0.9699019]
XP_657641.1	[0.521914]
XP_657648.1	[0.97844523]
XP_657649.1	[0.88275266]
XP_657668.1	[0.7581735]
XP_657675.1	[0.9859402]
XP_657682.1	[0.9425019]
XP_657694.1	[0.92113906]
XP_657700.1	[0.97538495]
XP_657703.1	[0.7475421]
XP_657711.1	[0.7955987]
XP_657717.1	[0.6547442]
XP_657722.1	[0.94314957]
XP_657749.1	[0.88135004]
XP_657752.1	[0.98954695]
XP_657763.1	[0.9595138]
XP_657780.1	[0.99142694]
XP_657806.1	[0.98318267]
XP_657827.1	[0.99180424]
XP_657840.1	[0.81811327]
XP_657867.1	[0.9712398]
XP_657883.1	[0.9906483]
XP_657890.1	[0.9559438]
XP_657902.1	[0.7759004]
XP_657937.1	[0.83805776]
XP_657945.1	[0.9808595]
XP_657952.1	[0.96016014]
XP_657959.1	[0.985918]
XP_657972.1	[0.7563397]
XP_657992.1	[0.98916745]
XP_657995.1	[0.6801305]
XP_658000.1	[0.9840851]
XP_658013.1	[0.86867243]
XP_658016.1	[0.98410493]
XP_658017.1	[0.7498915]
XP_658026.1	[0.9907934]
XP_658048.1	[0.9138435]
XP_658050.1	[0.9360095]
XP_658057.1	[0.8647371]
XP_658090.1	[0.9620824]
XP_658100.1	[0.97452164]
XP_658120.1	[0.9716015]
XP_658137.1	[0.9866442]
XP_658157.1	[0.84789604]
XP_658169.1	[0.97910315]
XP_658172.1	[0.92317736]
XP_658177.1	[0.5527998]
XP_658182.1	[0.99184966]
XP_658189.1	[0.99170023]
XP_658223.1	[0.9886087]
XP_658228.1	[0.53694177]
XP_658243.1	[0.91358155]
XP_658246.1	[0.9851088]
XP_658268.1	[0.7096999]
XP_658273.1	[0.98977846]
XP_658282.1	[0.95769614]
XP_658284.1	[0.9790806]
XP_658287.1	[0.9905997]
XP_658293.1	[0.97555554]
XP_658313.1	[0.7003156]
XP_658337.1	[0.63030964]
XP_658342.1	[0.9918132]
XP_658370.1	[0.94723904]
XP_658376.1	[0.98861814]
XP_658418.1	[0.7646136]
XP_658421.1	[0.9850102]
XP_658430.1	[0.9880449]
XP_658439.1	[0.9903313]
XP_658457.1	[0.9832296]
XP_658458.1	[0.8557791]
XP_658467.1	[0.9907539]
XP_658481.1	[0.98814094]
XP_658489.1	[0.99075806]
XP_658495.1	[0.985859]
XP_658502.1	[0.75523776]
XP_658503.1	[0.9823068]
XP_658506.1	[0.9441261]
XP_658532.1	[0.9818617]
XP_658541.1	[0.9844535]
XP_658555.1	[0.98281604]
XP_658577.1	[0.9919045]
XP_658579.1	[0.98872316]
XP_658590.1	[0.9837044]
XP_658605.1	[0.8919393]
XP_658614.1	[0.9564208]
XP_658629.1	[0.98634446]
XP_658630.1	[0.5344508]
XP_658633.1	[0.9900919]
XP_658642.1	[0.8877626]
XP_658643.1	[0.8626131]
XP_658657.1	[0.945716]
XP_658664.1	[0.76991946]
XP_658684.1	[0.776465]
XP_658718.1	[0.9918031]
XP_658733.1	[0.78599435]
XP_658738.1	[0.9891868]
XP_658760.1	[0.56207883]
XP_658821.1	[0.99138755]
XP_658823.1	[0.8346009]
XP_658836.1	[0.98364496]
XP_658858.1	[0.89941347]
XP_658869.1	[0.9912015]
XP_658925.1	[0.67788017]
XP_658931.1	[0.97441894]
XP_658966.1	[0.97613674]
XP_658972.1	[0.9918933]
XP_659006.1	[0.99075097]
XP_659010.1	[0.9907222]
XP_659018.1	[0.97355676]
XP_659025.1	[0.9898677]
XP_659041.1	[0.98364854]
XP_659042.1	[0.95355624]
XP_659052.1	[0.95304775]
XP_659057.1	[0.74938804]
XP_659104.1	[0.9825957]
XP_659122.1	[0.7788842]
XP_659140.1	[0.7971038]
XP_659159.1	[0.85645705]
XP_659201.1	[0.8908516]
XP_659203.1	[0.98898226]
XP_659226.1	[0.5964487]
XP_659233.1	[0.8323845]
XP_659245.1	[0.9885705]
XP_659256.1	[0.99174845]
XP_659282.1	[0.99066705]
XP_659290.1	[0.79244995]
XP_659313.1	[0.9522272]
XP_659324.1	[0.951258]
XP_659333.1	[0.98666453]
XP_659340.1	[0.9888131]
XP_659360.1	[0.93762445]
XP_659372.1	[0.69922453]
XP_659375.1	[0.98239523]
XP_659381.1	[0.92220455]
XP_659383.1	[0.67765355]
XP_659416.1	[0.9738273]
XP_659424.1	[0.9856237]
XP_659428.1	[0.98572737]
XP_659433.1	[0.99064344]
XP_659452.1	[0.9867569]
XP_659509.1	[0.91701186]
XP_659518.1	[0.68164605]
XP_659531.1	[0.9906696]
XP_659548.1	[0.5030209]
XP_659552.1	[0.514035]
XP_659559.1	[0.9743066]
XP_659563.1	[0.819096]
XP_659588.1	[0.67730683]
XP_659601.1	[0.99130684]
XP_659613.1	[0.9808826]
XP_659620.1	[0.9900205]
XP_659624.1	[0.99168956]
