XP_001728056.1	[0.69480646]
XP_001728161.2	[0.9330371]
XP_001728315.2	[0.9720381]
XP_001728403.1	[0.8714539]
XP_001728446.2	[0.97320867]
XP_001728447.2	[0.8660673]
XP_001728451.2	[0.9900519]
XP_001728453.1	[0.52870435]
XP_001728485.1	[0.9875901]
XP_001728534.2	[0.76681864]
XP_001728549.2	[0.9918528]
XP_011392774.1	[0.8534386]
XP_011392775.1	[0.6529419]
XP_011392776.1	[0.8534386]
XP_011392780.1	[0.98454314]
XP_011392781.1	[0.98454314]
XP_011392822.1	[0.9835331]
XP_011392826.1	[0.7718903]
XP_011392855.1	[0.9322143]
XP_011392856.1	[0.93455464]
XP_011392883.1	[0.98724824]
XP_011392884.1	[0.98724824]
XP_011392897.1	[0.9919075]
XP_011392898.1	[0.9919075]
XP_011392908.1	[0.98421234]
XP_011392909.1	[0.9859805]
XP_011392923.1	[0.9901924]
XP_011392924.1	[0.9901924]
XP_011392932.1	[0.99053496]
XP_011392933.1	[0.99054724]
XP_011392967.1	[0.99078465]
XP_011392968.1	[0.99078465]
XP_011392993.1	[0.9861145]
XP_011392994.1	[0.97558177]
XP_011392997.1	[0.65952617]
XP_011393010.1	[0.9889494]
XP_011393011.1	[0.9889494]
XP_011393026.1	[0.93977654]
XP_011393029.1	[0.7328754]
XP_011393030.1	[0.7328754]
XP_011393031.1	[0.7328754]
XP_011393032.1	[0.7328754]
XP_011393033.1	[0.7328754]
XP_011393038.1	[0.990877]
XP_011393039.1	[0.990877]
XP_011393040.1	[0.990877]
XP_011393047.1	[0.9830011]
XP_011393048.1	[0.9830011]
XP_011393049.1	[0.968709]
XP_011393050.1	[0.60555893]
XP_011393051.1	[0.58892703]
XP_011393055.1	[0.50739986]
XP_011393066.1	[0.97357845]
XP_011393067.1	[0.97357845]
XP_011393070.1	[0.7573996]
XP_011393071.1	[0.7391365]
XP_011393072.1	[0.99079996]
XP_011393073.1	[0.99079996]
XP_011393080.1	[0.9906227]
XP_011393081.1	[0.9906227]
XP_011393084.1	[0.7848831]
XP_011393085.1	[0.7848831]
XP_011393086.1	[0.7848831]
XP_011393087.1	[0.7848831]
XP_011393088.1	[0.99072134]
XP_011393089.1	[0.99072134]
XP_011393094.1	[0.9893044]
XP_011393095.1	[0.9893044]
XP_011393096.1	[0.9893044]
XP_011393127.1	[0.9762413]
XP_011393129.1	[0.98937464]
XP_011393130.1	[0.98937464]
XP_011393169.1	[0.8661751]
XP_011393170.1	[0.9282961]
XP_011393171.1	[0.86205643]
XP_011393185.1	[0.9897462]
XP_011393186.1	[0.9897462]
XP_011393197.1	[0.7412285]
XP_011393203.1	[0.98798287]
XP_011393204.1	[0.98798287]
XP_011393207.1	[0.9727242]
XP_011393208.1	[0.9727242]
XP_011393237.1	[0.91982985]
XP_011393238.1	[0.91982985]
XP_011393264.1	[0.98134357]
XP_011393265.1	[0.9829683]
XP_011393268.1	[0.9768262]
XP_011393269.1	[0.90579575]
XP_011393289.1	[0.99056923]
XP_011393295.1	[0.99115515]
XP_011393296.1	[0.99110997]
XP_011393297.1	[0.99115515]
XP_011393305.1	[0.5157848]
XP_011393349.1	[0.96956235]
XP_011393379.1	[0.6391687]
XP_011393407.1	[0.8957388]
XP_011393413.1	[0.66797733]
XP_011393414.1	[0.66797733]
XP_011393417.1	[0.8932126]
XP_011393425.1	[0.84027535]
XP_011393441.1	[0.9717229]
XP_011393442.1	[0.9888959]
XP_011393444.1	[0.9186184]
XP_011393452.1	[0.6281123]
XP_011393453.1	[0.6281123]
XP_011393463.1	[0.80615425]
XP_011393464.1	[0.80615425]
XP_011393489.1	[0.974209]
XP_011393490.1	[0.9704105]
XP_011393493.1	[0.56703156]
XP_011393494.1	[0.85371864]
XP_011393495.1	[0.584351]
XP_011393530.1	[0.85593194]
XP_011393550.1	[0.9869992]
XP_011393551.1	[0.9869992]
XP_011393554.1	[0.96449673]
XP_011393555.1	[0.96449673]
XP_011393560.1	[0.95784277]
XP_011393561.1	[0.95784277]
XP_011393562.1	[0.95784277]
XP_011393585.1	[0.9728855]
XP_011393586.1	[0.97950876]
XP_011393587.1	[0.80922717]
XP_011393588.1	[0.7929267]
XP_011393597.1	[0.7586943]
XP_011393614.1	[0.7156072]
XP_011393615.1	[0.7156072]
XP_011393652.1	[0.667963]
XP_011393663.1	[0.66469985]
XP_011393680.1	[0.9716532]
XP_011393696.1	[0.9503489]
XP_011393697.1	[0.85389125]
XP_011393698.1	[0.9503489]
XP_011393705.1	[0.53456956]
XP_011393708.1	[0.9873847]
XP_011393717.1	[0.966267]
XP_011393734.1	[0.961811]
XP_011393735.1	[0.961811]
XP_011393736.1	[0.5550446]
XP_011393737.1	[0.5550446]
XP_011393738.1	[0.5550446]
XP_011393747.1	[0.8505938]
XP_011393748.1	[0.8490543]
XP_011393749.1	[0.85871726]
XP_011393750.1	[0.85871726]
XP_011393751.1	[0.98203063]
XP_011393752.1	[0.98203063]
XP_011393753.1	[0.98203063]
XP_011393754.1	[0.9879071]
XP_011393755.1	[0.9864167]
XP_011393766.1	[0.9837879]
XP_011393767.1	[0.9837879]
XP_011393781.1	[0.7211998]
XP_011393790.1	[0.6211566]
XP_011393792.1	[0.9876215]
XP_011393793.1	[0.9876215]
XP_011393807.1	[0.946681]
